,Specialty,Number of Blocks
0,CCARD,44
1,ORT Tumor,10
2,ORT COLUNA,4
3,URO TX,3
4,ORT Quadril,4
5,ORL,48
6,NEURO COLU,12
7,MARCAP Local,8
8,CAB PESC,16
9,GAST FIG,17
10,ORT TRAUMA,28
11,TMO,2
12,PROCTO,31
13,Anestesia Dor,2
14,ORT Pé,5
15,PLAST,34
16,GAST  OBES,16
17,URO GINECO,4
18,GAST EED,24
19,GAST   GDP/VB,16
20,Oftalmo,25
21,C TORAX,16
22,ORT JOELHO,13
23,URO Onco,10
24,URO Infantil,4
25,URO litiase,8
26,URO Andro,5
27,C TRAUMA,5
28,URO Func,5
29,EEF,1
30,VASC LOCAL,13
31,ORT INF,6
32,C PED,21
33,EDA Infantil,13
34,VASC,26
35,ORT OMBRO,2
36,MARCAP,1
37,NEURO,44
38,EEF  Local,2
39,ORT Mão,9
40,EDA ADULTO,2
41,Empty blocks,101
