,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT Tumor,ORT JOELHO,C TRAUMA,VASC LOCAL,URO Onco,PROCTO,C PED,ORL,GAST FIG,NEURO,PROCTO,VASC,EDA Infantil,Oftalmo
b12_02,CCARD,ORT COLUNA,URO Onco,MARCAP Local,VASC LOCAL,ORT Tumor,PROCTO,ORT OMBRO,ORL,GAST  OBES,NEURO,GAST FIG,VASC,,
b21_03,CCARD,URO TX,PLAST,URO Func,URO Andro,ORT Pé,ORT TRAUMA,GAST EED,ORL,GAST EED,NEURO,ORT TRAUMA,,ORT Mão,
b22_04,CCARD,ORT Quadril,,GAST EED,PLAST,,ORT TRAUMA,ORT INF,GAST EED,ORL,NEURO,ORT TRAUMA,,,
b31_05,CCARD,ORL,PLAST,Oftalmo,PLAST,C TORAX,ORT JOELHO,C PED,CAB PESC,VASC LOCAL,NEURO,ORT TRAUMA,VASC,EDA Infantil,Oftalmo
b32_06,CCARD,ORL,URO Infantil,C TORAX,PLAST,GAST  OBES,ORT JOELHO,ORL,PLAST,C PED,NEURO,GAST   GDP/VB,VASC,,
b41_07,CCARD,NEURO COLU,URO litiase,EEF,EDA Infantil,GAST FIG,ORL,GAST   GDP/VB,ORL,GAST  OBES,NEURO,,VASC,EDA ADULTO,Oftalmo
b42_08,CCARD,MARCAP Local,ORL,Oftalmo,URO litiase,GAST  OBES,,GAST FIG,ORL,GAST   GDP/VB,NEURO,NEURO COLU,VASC,,
b51_09,CCARD,CAB PESC,URO GINECO,PROCTO,PLAST,C TORAX,PROCTO,,CAB PESC,C PED,NEURO,NEURO COLU,,ORT Mão,Oftalmo
b52_10,CCARD,ORT Quadril,,PROCTO,PLAST,C TORAX,ORT TRAUMA,PROCTO,CAB PESC,C PED,NEURO,GAST EED,,,
b11_11,CCARD,GAST FIG,URO Onco,C TRAUMA,VASC LOCAL,C PED,PROCTO,ORT JOELHO,ORL,ORT Tumor,NEURO,PROCTO,VASC,EDA Infantil,Oftalmo
b12_12,CCARD,MARCAP Local,,VASC LOCAL,URO Onco,ORT Tumor,PROCTO,GAST  OBES,ORL,GAST FIG,NEURO,GAST   GDP/VB,VASC,,
b21_13,CCARD,URO TX,PLAST,ORT Pé,URO Andro,ORT TRAUMA,ORT TRAUMA,GAST EED,ORL,GAST EED,NEURO,URO Func,,ORT Mão,
b22_14,CCARD,ORT Quadril,,GAST EED,,ORL,ORT TRAUMA,ORT INF,GAST EED,PLAST,NEURO,ORT TRAUMA,,,
b31_15,CCARD,ORT TRAUMA,Oftalmo,C TORAX,VASC LOCAL,PLAST,ORT JOELHO,CAB PESC,PLAST,C PED,NEURO,ORL,VASC,EDA Infantil,Oftalmo
b32_16,CCARD,ORL,URO Infantil,C TORAX,ORT JOELHO,GAST  OBES,PLAST,PLAST,ORL,C PED,NEURO,GAST   GDP/VB,VASC,,
b41_17,CCARD,TMO,ORL,GAST   GDP/VB,EDA Infantil,GAST  OBES,URO litiase,VASC,ORL,NEURO COLU,NEURO,GAST FIG,,EDA ADULTO,Oftalmo
b42_18,CCARD,MARCAP Local,ORL,Oftalmo,,GAST  OBES,URO litiase,NEURO COLU,ORL,GAST FIG,NEURO,GAST   GDP/VB,VASC,,
b51_19,CCARD,,URO GINECO,C TORAX,PLAST,C PED,PROCTO,PROCTO,CAB PESC,CAB PESC,NEURO,NEURO COLU,,ORT Mão,Oftalmo
b52_20,CCARD,PROCTO,PLAST,C TORAX,,PROCTO,ORT TRAUMA,CAB PESC,,C PED,NEURO,GAST EED,,,
b11_21,CCARD,Anestesia Dor,URO Onco,PROCTO,VASC LOCAL,C TRAUMA,ORT JOELHO,ORT Tumor,ORL,C PED,NEURO,PROCTO,VASC,EDA Infantil,Oftalmo
b12_22,CCARD,MARCAP Local,URO Onco,ORT COLUNA,VASC LOCAL,GAST  OBES,PROCTO,GAST   GDP/VB,ORL,ORT Tumor,NEURO,GAST FIG,VASC,,
b21_23,CCARD,ORT Pé,PLAST,ORT INF,URO Andro,GAST EED,ORT TRAUMA,GAST EED,ORL,URO Func,NEURO,ORT TRAUMA,,ORT Mão,
b22_24,CCARD,,PLAST,ORT INF,,ORT TRAUMA,ORT TRAUMA,,GAST EED,GAST EED,NEURO,ORL,,,
b31_25,CCARD,PLAST,Oftalmo,C TORAX,PLAST,C PED,ORT JOELHO,CAB PESC,ORL,ORT TRAUMA,NEURO,VASC LOCAL,VASC,EDA Infantil,Oftalmo
b32_26,CCARD,PLAST,,ORL,URO Infantil,C TORAX,ORT JOELHO,PLAST,ORL,C PED,NEURO,GAST   GDP/VB,VASC,,
b41_27,CCARD,GAST  OBES,URO litiase,GAST   GDP/VB,VASC,TMO,ORL,GAST FIG,ORL,EDA Infantil,NEURO,NEURO COLU,EEF  Local,,Oftalmo
b42_28,CCARD,MARCAP Local,Oftalmo,GAST   GDP/VB,ORL,GAST  OBES,URO litiase,NEURO COLU,ORL,MARCAP,NEURO,GAST FIG,VASC,,
b51_29,CCARD,URO GINECO,,C TORAX,PLAST,C PED,PROCTO,CAB PESC,CAB PESC,PROCTO,NEURO,NEURO COLU,,ORT Mão,Oftalmo
b52_30,CCARD,PROCTO,,GAST EED,PLAST,C TORAX,ORT TRAUMA,,CAB PESC,C PED,NEURO,PROCTO,,,
b11_31,CCARD,Anestesia Dor,URO Onco,PROCTO,ORT JOELHO,C TRAUMA,PROCTO,C PED,ORL,ORT Tumor,NEURO,GAST FIG,VASC,EDA Infantil,Oftalmo
b12_32,CCARD,MARCAP Local,URO Onco,ORT COLUNA,VASC LOCAL,GAST   GDP/VB,PROCTO,GAST  OBES,ORL,ORT Tumor,NEURO,GAST FIG,VASC,,
b21_33,CCARD,ORT TRAUMA,,ORT Pé,URO Andro,GAST EED,ORT TRAUMA,GAST EED,ORL,PLAST,NEURO,URO Func,,ORT Mão,
b22_34,CCARD,GAST EED,,ORT INF,PLAST,ORT TRAUMA,ORL,ORT Quadril,GAST EED,,NEURO,ORT TRAUMA,,,
b31_35,CCARD,PLAST,Oftalmo,VASC LOCAL,PLAST,C TORAX,ORT JOELHO,C PED,CAB PESC,ORT TRAUMA,NEURO,ORL,VASC,EDA Infantil,Oftalmo
b32_36,CCARD,GAST   GDP/VB,PLAST,C TORAX,URO Infantil,C PED,ORT JOELHO,PLAST,ORL,GAST  OBES,NEURO,ORL,VASC,,
