,Specialty,Number of Blocks
0,CCARD,44
1,ORT Tumor,10
2,MARCAP Local,7
3,ORT TRAUMA,27
4,C TORAX,13
5,VASC,26
6,GAST FIG,16
7,C PED,20
8,PROCTO,25
9,NEURO,31
10,URO litiase,8
11,CAB PESC,14
12,URO Andro,5
13,ORT INF,5
14,ORT COLUNA,4
15,GAST  OBES,14
16,VASC LOCAL,9
17,URO Onco,10
18,PLAST (*),13
19,ORT JOELHO,12
20,PLAST,33
21,ORL,44
22,URO GINECO,4
23,EDA Infantil,11
24,ORT OMBRO,5
25,URO TX,3
26,Oftalmo,25
27,Anestesia Dor,2
28,ORT Quadril,4
29,GAST   GDP/VB,14
30,C PED (*),1
31,URO Func,5
32,EEF  Local,2
33,ORT Pé,5
34,URO Infantil,4
35,TMO,2
36,ORT TRAUMA (*),2
37,GAST EED,20
38,C TRAUMA,3
39,NEURO COLU,12
40,MARCAP,9
41,EEF,4
42,ORT Mão,14
43,EDA ADULTO,4
44,Empty blocks,115
