,Specialty,Number of Blocks
0,CCARD,39
1,ORT COLUNA,4
2,MARCAP Local,8
3,URO TX,3
4,ORT Quadril,4
5,C TORAX,13
6,URO Infantil,4
7,Oftalmo,15
8,URO GINECO,4
9,ORT Tumor,4
10,URO Andro,5
11,TMO,2
12,C TRAUMA,4
13,ORT TRAUMA,13
14,GAST EED,19
15,URO litiase,8
16,ORT Mão,7
17,PLAST,23
18,CAB PESC,8
19,GAST FIG,13
20,GAST  OBES,9
21,Anestesia Dor,2
22,ORT INF,5
23,ORT JOELHO,7
24,EDA Infantil,9
25,ORT OMBRO,2
26,URO Func,4
27,ORL,47
28,URO Onco,8
29,C PED,20
30,EEF,1
31,ORT Pé,5
32,VASC LOCAL,14
33,GAST   GDP/VB,14
34,EDA ADULTO,2
35,PROCTO,5
36,NEURO COLU,10
37,MARCAP,1
38,EEF  Local,2
39,NEURO,33
40,VASC,23
41,Empty blocks,222
