,Specialty,Number of Blocks
0,CCARD,37
1,ORT COLUNA,2
2,MARCAP Local,8
3,URO Andro,4
4,ORT Quadril,2
5,ORT TRAUMA,21
6,PLAST,25
7,URO litiase,7
8,PROCTO,17
9,C TRAUMA,2
10,ORT Pé,3
11,EDA Infantil,7
12,URO Infantil,3
13,TMO,2
14,VASC LOCAL,14
15,GAST FIG,13
16,Anestesia Dor,2
17,ORL,37
18,ORT JOELHO,8
19,EEF,2
20,VASC,22
21,NEURO,38
22,ORT Mão,5
23,URO Onco,10
24,Oftalmo,9
25,EDA ADULTO,6
26,URO Func,5
27,ORT Tumor,10
28,C TORAX,12
29,GAST  OBES,12
30,ORT INF,3
31,C PED,14
32,CAB PESC,14
33,GAST   GDP/VB,11
34,ORT OMBRO,1
35,URO GINECO,3
36,GAST EED,17
37,NEURO COLU,10
38,URO TX,2
39,EEF  Local,2
40,MARCAP,1
41,Empty blocks,222
