Sub-especialidade/sala,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
Anestesia Dor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C PED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C TORAX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
C TRAUMA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAB PESC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CCARD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EDA ADULTO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EDA Infantil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EEF Local,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAST GDP/VB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAST OBES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAST EED,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAST FIG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARCAP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MARCAP Local,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEURO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NEURO COLU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Oftalmo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT COLUNA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT INF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT JOELHO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT Mão,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT OMBRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT Pé,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT Quadril,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT TRAUMA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ORT Tumor,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PLAST,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PROCTO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
TMO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO Andro,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO Func,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO GINECO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO Infantil,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO litiase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO Onco,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
URO TX,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VASC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
VASC LOCAL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
