,Specialty,Number of Blocks
0,CCARD,37
1,ORT Tumor,10
2,ORT TRAUMA,21
3,GAST EED,17
4,PLAST,25
5,GAST   GDP/VB,11
6,NEURO COLU,10
7,GAST  OBES,12
8,C PED,14
9,C TRAUMA,2
10,ORT COLUNA,2
11,EEF,2
12,ORL,39
13,CAB PESC,14
14,PROCTO,17
15,ORT JOELHO,8
16,C TORAX,12
17,Oftalmo,10
18,MARCAP Local,8
19,ORT Mão,6
20,EDA Infantil,7
21,Anestesia Dor,2
22,URO Func,5
23,URO Onco,10
24,URO litiase,7
25,URO GINECO,3
26,GAST FIG,13
27,VASC LOCAL,14
28,URO TX,2
29,ORT Quadril,2
30,VASC,22
31,ORT Pé,3
32,EDA ADULTO,6
33,URO Andro,4
34,URO Infantil,3
35,TMO,2
36,ORT INF,3
37,ORT OMBRO,1
38,NEURO,38
39,EEF  Local,2
40,MARCAP,1
41,Empty blocks,218
