,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT Tumor,URO Onco,,VASC LOCAL,PROCTO,,,ORL,,NEURO,GAST FIG,VASC,,
b12_02,CCARD,ORT Tumor,,PROCTO,,MARCAP Local,,GAST FIG,ORL,VASC LOCAL,NEURO,URO Onco,VASC,,
b21_03,CCARD,ORT TRAUMA,,,URO Func,GAST EED,ORT TRAUMA,ORT Pé,GAST EED,PLAST,NEURO,URO Andro,,ORT Mão,
b22_04,,GAST EED,,,PLAST,ORT Quadril,,ORT TRAUMA,,,NEURO,ORT TRAUMA,,,
b31_05,CCARD,PLAST,EDA Infantil,CAB PESC,ORL,VASC LOCAL,PLAST,C PED,,C TORAX,NEURO,ORT TRAUMA,VASC,Oftalmo,
b32_06,CCARD,GAST   GDP/VB,,C TORAX,,URO Infantil,ORT JOELHO,,ORL,C PED,NEURO,,VASC,,
b41_07,CCARD,NEURO COLU,EDA Infantil,GAST FIG,EDA ADULTO,TMO,URO litiase,GAST   GDP/VB,ORL,GAST  OBES,NEURO,ORL,VASC,,Oftalmo
b42_08,CCARD,GAST  OBES,Oftalmo,MARCAP Local,VASC,GAST FIG,URO litiase,GAST   GDP/VB,ORL,NEURO,NEURO COLU,ORL,,,
b51_09,CCARD,C PED,,CAB PESC,,CAB PESC,PLAST,C TORAX,,,NEURO,NEURO COLU,,ORT Mão,
b52_10,,ORT TRAUMA,,,,,,,,CAB PESC,,,,,
b11_11,CCARD,C TRAUMA,URO Onco,VASC LOCAL,EDA ADULTO,ORT JOELHO,,C PED,ORL,ORT Tumor,NEURO,PROCTO,,,
b12_12,,ORT COLUNA,URO Onco,PROCTO,VASC LOCAL,GAST FIG,ORT OMBRO,MARCAP Local,ORL,ORT Tumor,NEURO,GAST  OBES,,,
b21_13,CCARD,ORT TRAUMA,PLAST,GAST EED,URO Andro,URO Func,ORT TRAUMA,ORT INF,ORL,GAST EED,NEURO,URO TX,,ORT Mão,
b22_14,CCARD,ORT TRAUMA,,ORT TRAUMA,,ORL,,GAST EED,,GAST EED,NEURO,,,,
b31_15,CCARD,ORT TRAUMA,EDA Infantil,VASC LOCAL,PLAST,C PED,PLAST,ORT JOELHO,CAB PESC,C TORAX,NEURO,ORL,VASC,,
b32_16,CCARD,C PED,PLAST,,,GAST  OBES,,ORT JOELHO,PLAST,C TORAX,NEURO,,VASC,,
b41_17,CCARD,EEF,URO litiase,GAST FIG,ORL,GAST  OBES,VASC,NEURO COLU,ORL,GAST   GDP/VB,NEURO,EDA Infantil,EEF  Local,,Oftalmo
b42_18,CCARD,ORL,Oftalmo,MARCAP Local,URO litiase,GAST FIG,,NEURO COLU,ORL,GAST  OBES,NEURO,GAST   GDP/VB,VASC,,
b51_19,CCARD,CAB PESC,,URO GINECO,,C PED,,PROCTO,,PROCTO,NEURO,NEURO COLU,,ORT Mão,
b52_20,CCARD,GAST EED,PLAST,,,,,,CAB PESC,C TORAX,,,,,
b11_21,CCARD,PROCTO,,C PED,ORT JOELHO,GAST FIG,URO Onco,ORT Tumor,ORL,Anestesia Dor,,VASC LOCAL,VASC,,
b12_22,,,URO Onco,GAST  OBES,,VASC LOCAL,,,ORL,ORT Tumor,NEURO,GAST FIG,VASC,,
b21_23,CCARD,GAST EED,PLAST,URO TX,URO Andro,ORT TRAUMA,URO Func,ORT Pé,GAST EED,ORT TRAUMA,NEURO,ORL,,ORT Mão,
b22_24,CCARD,GAST EED,,ORT Quadril,PLAST,,,,GAST EED,,NEURO,ORL,,,
b31_25,CCARD,ORT JOELHO,PLAST,ORL,VASC LOCAL,C PED,,ORT TRAUMA,CAB PESC,PLAST,NEURO,,VASC,EDA ADULTO,
b32_26,CCARD,C TORAX,ORL,,PLAST,GAST   GDP/VB,ORT JOELHO,C PED,ORL,,NEURO,URO Infantil,,,
b41_27,CCARD,GAST  OBES,ORL,URO litiase,EDA Infantil,ORL,VASC,TMO,,GAST FIG,NEURO,GAST   GDP/VB,EEF,,Oftalmo
b42_28,CCARD,Oftalmo,URO litiase,MARCAP Local,ORL,GAST   GDP/VB,,GAST FIG,ORL,GAST  OBES,NEURO,NEURO COLU,VASC,,
b51_29,CCARD,C TORAX,,URO GINECO,,PROCTO,,NEURO,CAB PESC,CAB PESC,,NEURO COLU,,,Oftalmo
b52_30,CCARD,GAST EED,,,PLAST,,,ORT TRAUMA,CAB PESC,,NEURO,,,,
b11_31,,PROCTO,URO Onco,,,C TRAUMA,,ORT Tumor,ORL,PROCTO,NEURO,VASC LOCAL,VASC,,
