,Specialty,Number of Blocks
0,CCARD,44
1,VASC LOCAL,13
2,ORT COLUNA,4
3,ORT Pé,5
4,ORT Quadril,4
5,C TORAX,14
6,URO Infantil,4
7,ORL,48
8,MARCAP Local,8
9,PROCTO,26
10,Anestesia Dor,2
11,URO TX,3
12,Oftalmo,24
13,PLAST,33
14,TMO,2
15,ORT Tumor,8
16,ORT Mão,8
17,ORT INF,6
18,GAST  OBES,16
19,NEURO COLU,12
20,CAB PESC,15
21,URO Onco,9
22,EDA Infantil,11
23,URO Func,5
24,ORT OMBRO,2
25,URO Andro,5
26,URO GINECO,4
27,ORT JOELHO,13
28,URO litiase,8
29,C TRAUMA,4
30,GAST   GDP/VB,15
31,GAST EED,22
32,C PED,21
33,MARCAP,1
34,GAST FIG,16
35,ORT TRAUMA,27
36,VASC,26
37,EDA ADULTO,2
38,EEF  Local,2
39,EEF,1
40,NEURO,44
41,Empty blocks,123
