,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,VASC LOCAL,Oftalmo,C TRAUMA,URO Onco,PROCTO,ORT JOELHO,GAST FIG,ORL,C PED,NEURO,EDA Infantil,VASC,,
b12_02,CCARD,ORT COLUNA,URO Onco,GAST   GDP/VB,VASC LOCAL,ORT OMBRO,PROCTO,ORT Tumor,ORL,GAST  OBES,NEURO,GAST FIG,VASC,,
b21_03,CCARD,ORT Pé,URO TX,PLAST,URO Andro,ORT TRAUMA,ORT TRAUMA,GAST EED,ORL,GAST EED,NEURO,URO Func,,,
b22_04,CCARD,ORT Quadril,,GAST EED,PLAST,ORL,ORT TRAUMA,ORT INF,GAST EED,,NEURO,ORT TRAUMA,,ORT Mão,
b31_05,CCARD,C TORAX,Oftalmo,C PED,ORT JOELHO,CAB PESC,PLAST,Oftalmo,ORL,PLAST,NEURO,ORT TRAUMA,VASC,,
b32_06,CCARD,URO Infantil,PLAST,C TORAX,ORL,ORL,ORT JOELHO,GAST  OBES,PLAST,C PED,NEURO,GAST   GDP/VB,VASC,,
b41_07,CCARD,ORL,Oftalmo,GAST   GDP/VB,VASC,EDA Infantil,URO litiase,GAST  OBES,ORL,GAST FIG,NEURO,NEURO COLU,EEF  Local,,
b42_08,CCARD,MARCAP Local,ORL,MARCAP,URO litiase,GAST  OBES,,NEURO COLU,ORL,GAST FIG,NEURO,GAST   GDP/VB,VASC,Oftalmo,
b51_09,CCARD,PROCTO,Oftalmo,C TORAX,PLAST,URO GINECO,PROCTO,CAB PESC,CAB PESC,C PED,NEURO,NEURO COLU,,,
b52_10,CCARD,PROCTO,,,PLAST,C TORAX,ORT TRAUMA,PROCTO,CAB PESC,C PED,NEURO,GAST EED,,,
b11_11,CCARD,Anestesia Dor,EDA Infantil,C TRAUMA,URO Onco,C PED,ORT JOELHO,Oftalmo,ORL,GAST FIG,NEURO,VASC LOCAL,VASC,,
b12_12,CCARD,MARCAP Local,URO Onco,GAST FIG,VASC LOCAL,ORT COLUNA,PROCTO,GAST  OBES,ORL,ORT Tumor,NEURO,GAST   GDP/VB,VASC,,
b21_13,CCARD,URO TX,URO Func,ORT Pé,URO Andro,ORT INF,ORT TRAUMA,PLAST,ORL,ORT Mão,NEURO,ORT TRAUMA,,,
b22_14,CCARD,ORT Quadril,,GAST EED,PLAST,GAST EED,ORT TRAUMA,ORT INF,ORL,,NEURO,ORT TRAUMA,,ORT Mão,
b31_15,CCARD,Oftalmo,Oftalmo,VASC LOCAL,PLAST,ORL,ORT JOELHO,ORT TRAUMA,CAB PESC,C PED,NEURO,EDA Infantil,VASC,,
b32_16,CCARD,PLAST,ORL,C TORAX,ORT JOELHO,C PED,PLAST,GAST  OBES,ORL,GAST   GDP/VB,NEURO,URO Infantil,VASC,,
b41_17,CCARD,TMO,Oftalmo,URO litiase,EDA Infantil,GAST   GDP/VB,ORL,EDA ADULTO,ORL,NEURO COLU,NEURO,GAST FIG,VASC,,
