,Specialty,Deficit
0,Anestesia Dor,-0.0
1,C PED,27.0
2,C PED (*),-0.0
3,C TORAX,27.0
4,C TRAUMA,10.0
5,CAB PESC,23.0
6,CCARD,52.0
7,EDA ADULTO,-0.0
8,EDA Infantil,11.0
9,EEF,-0.0
10,EEF  Local,-0.0
11,GAST   GDP/VB,12.0
12,GAST  OBES,16.0
13,GAST EED,21.0
14,GAST FIG,25.0
15,MARCAP,-0.0
16,MARCAP Local,5.0
17,NEURO,63.0
18,NEURO COLU,12.0
19,Oftalmo,31.0
20,ORL,50.0
21,ORT COLUNA,1.0
22,ORT INF,5.0
23,ORT JOELHO,15.0
24,ORT Mão,3.0
25,ORT OMBRO,-0.0
26,ORT Pé,10.0
27,ORT Quadril,5.0
28,ORT TRAUMA,59.0
29,ORT TRAUMA (*),-0.0
30,ORT Tumor,28.0
31,PLAST,40.0
32,PLAST (*),-0.0
33,PROCTO,47.0
34,TMO,-0.0
35,URO Andro,7.0
36,URO Func,11.0
37,URO GINECO,6.0
38,URO Infantil,6.0
39,URO litiase,8.0
40,URO Onco,22.0
41,URO TX,-0.0
42,VASC,31.0
43,VASC LOCAL,12.0
