,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT COLUNA,EDA Infantil,Anestesia Dor,,PROCTO,ORT JOELHO,VASC LOCAL,ORL,PROCTO,,,,,Oftalmo
b12_02,CCARD,PROCTO,,VASC LOCAL,VASC,MARCAP Local,ORT OMBRO,ORT Tumor,ORL,ORT COLUNA,,GAST   GDP/VB,,,
b21_03,CCARD,NEURO,ORL,PLAST,URO Andro,URO TX,,ORT TRAUMA (*),GAST EED,URO Func,,GAST EED,,ORT Mão,
b22_04,CCARD,ORT Quadril,PLAST,,,GAST EED,ORL,,,,,,,ORT Mão,
b31_05,CCARD,CAB PESC,Oftalmo,VASC LOCAL,VASC,C TORAX,PLAST,ORT TRAUMA,ORL,C PED,,EDA ADULTO,,EDA Infantil,Oftalmo
b32_06,CCARD,PLAST,ORL,,,C PED,VASC,ORL,PLAST,ORT JOELHO,,GAST   GDP/VB,,,
b41_07,CCARD,TMO,EDA Infantil,EEF  Local,URO litiase,VASC,ORL,GAST FIG,ORL,GAST   GDP/VB,NEURO COLU,GAST  OBES,EEF,EDA ADULTO,Oftalmo
b42_08,CCARD,NEURO,,MARCAP Local,VASC,URO litiase,ORL,GAST   GDP/VB,ORL,GAST FIG,NEURO COLU,GAST  OBES,,Oftalmo,
b51_09,CCARD,CAB PESC,,C TORAX,,,PLAST,C PED,,,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_10,,CAB PESC,,,,,PLAST,,,,,,,,
b11_11,CCARD,NEURO,,VASC LOCAL,URO Onco,ORT Tumor,ORT JOELHO,ORT COLUNA,ORL,Anestesia Dor,,PROCTO,,EDA Infantil,Oftalmo
b12_12,CCARD,ORT Tumor,ORT OMBRO,PROCTO,URO Onco,VASC LOCAL,VASC,MARCAP Local,ORL,GAST   GDP/VB,,GAST  OBES,,,
b21_13,CCARD,PLAST (*),PLAST,ORT TRAUMA,ORL,ORT TRAUMA,URO Andro,NEURO,GAST EED,ORT INF,,GAST EED,,ORT Mão,
b22_14,,NEURO,PLAST,,,,ORL,,GAST EED,ORT TRAUMA,,GAST EED,,ORT Mão,
b31_15,CCARD,CAB PESC,Oftalmo,VASC LOCAL,ORT JOELHO,PLAST,PLAST,VASC,PLAST (*),NEURO,,ORL,,EDA Infantil,Oftalmo
b32_16,CCARD,,,C PED (*),ORL,C PED,PLAST,VASC,ORL,ORT JOELHO,,GAST   GDP/VB,,,
b41_17,CCARD,VASC,EDA Infantil,GAST FIG,URO litiase,TMO,ORL,GAST   GDP/VB,ORL,EEF  Local,NEURO COLU,GAST  OBES,,EDA ADULTO,Oftalmo
b42_18,CCARD,MARCAP Local,ORL,GAST  OBES,VASC,URO litiase,ORL,NEURO,,GAST FIG,NEURO COLU,GAST   GDP/VB,,,Oftalmo
b51_19,CCARD,URO GINECO,PLAST,ORT INF,,,,C PED,,NEURO,NEURO COLU,PROCTO,,,Oftalmo
b52_20,CCARD,,PLAST,PROCTO,,,,,GAST EED,C PED,,,,,
b11_21,CCARD,VASC LOCAL,,ORT COLUNA,ORT JOELHO,PROCTO,URO Onco,VASC,ORL,Anestesia Dor,,PROCTO,,,Oftalmo
b12_22,CCARD,GAST  OBES,,MARCAP Local,URO Onco,ORT Tumor,ORT OMBRO,PROCTO,,VASC LOCAL,,GAST   GDP/VB,,,
b21_23,CCARD,ORT INF,PLAST,ORT TRAUMA,URO Andro,ORT TRAUMA,ORL,NEURO,GAST EED,GAST EED,,URO Func,,ORT Mão,
b22_24,,NEURO,,,PLAST,ORT INF,ORL,,GAST EED,,,GAST EED,,ORT Mão,
b31_25,CCARD,CAB PESC,Oftalmo,VASC LOCAL,VASC,PLAST,ORT JOELHO,ORT TRAUMA (*),ORL,C TORAX,,,,EDA Infantil,Oftalmo
b32_26,CCARD,C TORAX,ORL,,ORL,ORT JOELHO,URO Infantil,VASC,PLAST,C PED,,GAST   GDP/VB,,,
b41_27,CCARD,EDA Infantil,EDA ADULTO,GAST FIG,VASC,EEF  Local,ORL,URO litiase,ORL,TMO,NEURO COLU,GAST  OBES,EEF,,Oftalmo
b42_28,CCARD,MARCAP Local,ORL,URO litiase,ORL,GAST  OBES,VASC,GAST   GDP/VB,,NEURO,NEURO COLU,,MARCAP,,Oftalmo
b51_29,CCARD,C TORAX,PLAST,,,,,C PED,,CAB PESC,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_30,CCARD,,PLAST,ORT TRAUMA (*),,C PED,,,,ORT Quadril,,GAST EED,,,
b11_31,CCARD,VASC LOCAL,,Anestesia Dor,,VASC,ORT JOELHO,NEURO,ORL,ORT COLUNA,,EDA Infantil,,,Oftalmo
b12_32,CCARD,,URO Onco,MARCAP Local,ORT OMBRO,VASC LOCAL,,,ORL,ORT COLUNA,,GAST   GDP/VB,,,
b21_33,CCARD,URO TX,PLAST,,URO Andro,ORL,,NEURO,GAST EED,URO Func,,GAST EED,,ORT Mão,
b22_34,CCARD,,,ORT INF,ORL,,,,GAST EED,ORT Quadril,,GAST EED,,ORT Mão,
b31_35,CCARD,CAB PESC,Oftalmo,VASC LOCAL,ORT JOELHO,ORT TRAUMA,VASC,C PED,PLAST,NEURO,,ORL,,EDA Infantil,Oftalmo
b32_36,CCARD,C PED,URO Infantil,,,GAST   GDP/VB,ORL,PLAST,ORL,C PED (*),,GAST  OBES,,,
b41_37,CCARD,NEURO,URO litiase,EEF  Local,,VASC,ORL,GAST   GDP/VB,ORL,TMO,NEURO COLU,GAST  OBES,,EDA Infantil,Oftalmo
b42_38,CCARD,NEURO,ORL,GAST FIG,VASC,MARCAP Local,,GAST   GDP/VB,ORL,URO litiase,NEURO COLU,GAST  OBES,MARCAP,,Oftalmo
b51_39,CCARD,PROCTO,,C PED,PLAST,,URO GINECO,,,CAB PESC,NEURO COLU,,,ORT Mão,Oftalmo
b52_40,CCARD,,,C PED,PLAST,PROCTO,,,,CAB PESC,,,,,
b11_41,CCARD,VASC LOCAL,,ORT Tumor,URO Onco,ORT COLUNA,ORT JOELHO,Anestesia Dor,ORL,VASC,,GAST FIG,,,Oftalmo
b12_42,CCARD,GAST   GDP/VB,,MARCAP Local,,ORT Tumor,VASC,PROCTO,ORL,VASC LOCAL,,GAST  OBES,,,
b21_43,CCARD,NEURO,URO TX,URO TX,PLAST,ORT TRAUMA (*),ORL,URO Andro,GAST EED,GAST EED,,,,ORT Mão,
