,Specialty,Number of Blocks
0,CCARD,41
1,URO Onco,7
2,GAST  OBES,12
3,ORL,43
4,ORT Quadril,4
5,C TORAX,10
6,URO Infantil,2
7,GAST   GDP/VB,14
8,MARCAP Local,9
9,URO GINECO,4
10,PROCTO,10
11,C PED,19
12,ORT Pé,5
13,NEURO,16
14,VASC LOCAL,14
15,GAST EED,20
16,GAST FIG,15
17,Anestesia Dor,5
18,Oftalmo,25
19,EEF  Local,4
20,C TRAUMA,3
21,ORT JOELHO,11
22,URO Func,4
23,PLAST,33
24,URO litiase,8
25,URO Andro,4
26,EDA Infantil,11
27,CAB PESC,5
28,VASC,23
29,ORT INF,5
30,ORT COLUNA,3
31,ORT TRAUMA,9
32,PLAST (*),1
33,URO TX,3
34,ORT Tumor,5
35,ORT TRAUMA (*),2
36,TMO,2
37,C PED (*),1
38,ORT OMBRO,2
39,NEURO COLU,12
40,EEF,1
41,MARCAP,1
42,ORT Mão,8
43,EDA ADULTO,2
44,Empty blocks,222
