,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,URO Onco,ORT JOELHO,C PED,,ORT COLUNA,VASC,Anestesia Dor,ORL,VASC LOCAL,,,,,Oftalmo
b12_02,CCARD,GAST  OBES,URO Onco,VASC LOCAL,VASC,GAST   GDP/VB,ORT OMBRO,GAST FIG,ORL,MARCAP Local,,,,,
b21_03,CCARD,ORL,URO Func,,URO Andro,GAST EED,URO TX,ORT TRAUMA,PLAST,ORT Pé,,GAST EED,,ORT Mão,
b22_04,,ORT Quadril,,GAST EED,ORL,,,ORT TRAUMA (*),,PLAST,,GAST EED,,,
b31_05,CCARD,C TORAX,PLAST,CAB PESC,ORT JOELHO,C PED,ORL,VASC LOCAL,PLAST,VASC,,EDA Infantil,,Oftalmo,Oftalmo
b32_06,,URO Infantil,,ORL,ORT JOELHO,VASC,PLAST,ORL,PLAST,C PED,,GAST   GDP/VB,,,
b41_07,CCARD,GAST   GDP/VB,URO litiase,GAST FIG,ORL,EEF  Local,VASC,EDA Infantil,ORL,NEURO,NEURO COLU,GAST  OBES,EEF,EDA ADULTO,Oftalmo
b42_08,CCARD,MARCAP Local,ORL,VASC,URO litiase,GAST  OBES,ORL,GAST FIG,,NEURO,NEURO COLU,GAST   GDP/VB,,,Oftalmo
b51_09,CCARD,URO GINECO,,C TORAX,,C PED,PLAST,,,ORT INF,NEURO COLU,PROCTO,,,Oftalmo
b52_10,,PROCTO,,,,,,,,PROCTO,,,,,
b11_11,CCARD,C PED,,C TRAUMA,URO Onco,VASC LOCAL,ORT JOELHO,Anestesia Dor,ORL,GAST FIG,,PROCTO,,EDA Infantil,Oftalmo
b12_12,CCARD,MARCAP Local,URO Onco,GAST  OBES,VASC,ORT Tumor,ORT OMBRO,VASC LOCAL,ORL,NEURO,,GAST FIG,,,
b21_13,CCARD,ORT Pé,URO Andro,ORT INF,PLAST,ORT TRAUMA,URO Func,ORT TRAUMA,ORL,NEURO,,GAST EED,,ORT Mão,
b22_14,CCARD,NEURO,ORL,ORT Quadril,,ORT TRAUMA,PLAST,,,,,GAST EED,,,
b31_15,CCARD,VASC LOCAL,ORT JOELHO,VASC,ORL,ORT TRAUMA (*),PLAST,C PED,PLAST,ORT TRAUMA,,EDA Infantil,,Oftalmo,Oftalmo
b32_16,CCARD,GAST  OBES,PLAST,,,ORT JOELHO,VASC,C TORAX,PLAST,C PED,,GAST   GDP/VB,,,
b41_17,CCARD,GAST  OBES,EDA Infantil,EEF  Local,ORL,TMO,VASC,GAST FIG,ORL,GAST   GDP/VB,NEURO COLU,URO litiase,,EDA ADULTO,Oftalmo
b42_18,CCARD,NEURO,ORL,GAST  OBES,VASC,MARCAP Local,URO litiase,GAST   GDP/VB,ORL,,NEURO COLU,GAST FIG,,Oftalmo,
b51_19,CCARD,,,ORT INF,,C TORAX,,URO GINECO,PLAST,C PED,NEURO COLU,PROCTO,,,Oftalmo
b52_20,CCARD,NEURO,,C PED,PLAST,,,,,,,GAST EED,,,
b11_21,CCARD,C PED,URO Onco,ORT COLUNA,ORT JOELHO,VASC LOCAL,VASC,Anestesia Dor,ORL,ORT Tumor,,,,,Oftalmo
b12_22,CCARD,MARCAP Local,,ORT COLUNA,,VASC LOCAL,VASC,PROCTO,ORL,ORT Tumor,,GAST FIG,,,
b21_23,CCARD,ORT Pé,PLAST,ORT INF,ORL,ORT TRAUMA,URO Andro,NEURO,GAST EED,ORT TRAUMA,,GAST EED,,ORT Mão,
b22_24,CCARD,GAST EED,ORL,,,,PLAST,,,NEURO,,GAST EED,,ORT Mão,
b31_25,CCARD,VASC LOCAL,PLAST,C PED,VASC,EDA Infantil,ORT JOELHO,C TORAX,PLAST,Oftalmo,,ORL,,,Oftalmo
b32_26,CCARD,C PED,ORL,VASC,PLAST,C PED (*),PLAST,,ORL,C TORAX,,GAST   GDP/VB,,,
b41_27,CCARD,NEURO,URO litiase,GAST FIG,ORL,EEF  Local,VASC,TMO,ORL,GAST  OBES,NEURO COLU,GAST   GDP/VB,,EDA Infantil,Oftalmo
b42_28,CCARD,GAST FIG,URO litiase,VASC,,GAST   GDP/VB,ORL,NEURO,ORL,MARCAP Local,NEURO COLU,GAST  OBES,,Oftalmo,
b51_29,CCARD,,,C PED,,URO GINECO,,,PLAST,CAB PESC,NEURO COLU,PROCTO,,ORT Mão,Oftalmo
b52_30,CCARD,,,CAB PESC,,C PED,PLAST,,,C TORAX,,GAST EED,,,
b11_31,CCARD,Anestesia Dor,,C PED,,ORT Tumor,ORT JOELHO,C TRAUMA,,VASC LOCAL,,PROCTO,,EDA Infantil,Oftalmo
b12_32,CCARD,GAST   GDP/VB,,VASC LOCAL,,GAST FIG,,MARCAP Local,ORL,VASC,,PROCTO,,,
b21_33,CCARD,ORT Pé,URO Andro,ORT TRAUMA,URO Func,ORL,PLAST,,,GAST EED,,GAST EED,,ORT Mão,
b22_34,CCARD,ORT Quadril,ORL,ORT INF,PLAST (*),,PLAST,,,,,GAST EED,,,
b31_35,CCARD,Oftalmo,PLAST,ORT TRAUMA,ORT JOELHO,C PED,VASC,VASC LOCAL,PLAST,C TORAX,,ORL,,EDA Infantil,Oftalmo
b32_36,CCARD,NEURO,PLAST,,URO Infantil,C PED,,C TORAX,PLAST,VASC,,GAST   GDP/VB,,,
b41_37,CCARD,EEF  Local,URO litiase,GAST   GDP/VB,,GAST FIG,ORL,NEURO,ORL,VASC,NEURO COLU,GAST  OBES,,EDA Infantil,Oftalmo
b42_38,CCARD,NEURO,URO litiase,GAST  OBES,,GAST FIG,ORL,MARCAP Local,ORL,VASC,NEURO COLU,GAST   GDP/VB,MARCAP,Oftalmo,
b51_39,CCARD,C PED,URO GINECO,,PLAST,,,C TORAX,,CAB PESC,NEURO COLU,PROCTO,,,Oftalmo
b52_40,CCARD,,,,,C PED,PLAST,,,CAB PESC,,GAST EED,,,
b11_41,CCARD,C TRAUMA,,VASC LOCAL,,GAST FIG,ORT JOELHO,Anestesia Dor,ORL,VASC,,URO Onco,,EDA Infantil,Oftalmo
b12_42,CCARD,NEURO,URO Onco,MARCAP Local,,VASC LOCAL,,GAST FIG,ORL,ORT Tumor,,GAST  OBES,,,
b21_43,CCARD,GAST EED,PLAST,,URO TX,ORT Pé,URO Func,URO TX,ORL,NEURO,,GAST EED,,ORT Mão,
b22_44,CCARD,,,,,ORL,PLAST,GAST EED,,ORT Quadril,,GAST EED,,ORT Mão,
