,Specialty,Deficit
0,Anestesia Dor,-0.0
1,C PED,25.0
2,C TORAX,21.0
3,C TRAUMA,8.0
4,CAB PESC,20.0
5,CCARD,57.0
6,EDA ADULTO,-0.0
7,EDA Infantil,15.0
8,EEF,-0.0
9,EEF  Local,-0.0
10,GAST   GDP/VB,18.0
11,GAST  OBES,18.0
12,GAST EED,23.0
13,GAST FIG,25.0
14,MARCAP,-0.0
15,MARCAP Local,5.0
16,NEURO,39.0
17,NEURO COLU,16.0
18,Oftalmo,36.0
19,ORL,52.0
20,ORT COLUNA,3.0
21,ORT INF,1.0
22,ORT JOELHO,18.0
23,ORT Mão,7.0
24,ORT OMBRO,1.0
25,ORT Pé,9.0
26,ORT Quadril,3.0
27,ORT TRAUMA,56.0
28,ORT Tumor,31.0
29,PLAST,42.0
30,PROCTO,43.0
31,TMO,-0.0
32,URO Andro,9.0
33,URO Func,11.0
34,URO GINECO,4.0
35,URO Infantil,6.0
36,URO litiase,11.0
37,URO Onco,25.0
38,URO TX,-0.0
39,VASC,35.0
40,VASC LOCAL,12.0
