,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,ORT COLUNA,,,,,ORT JOELHO,C PED,ORL,Anestesia Dor,NEURO,VASC LOCAL,VASC,,Oftalmo
b12_02,CCARD,GAST  OBES,ORT OMBRO,MARCAP Local,,,PROCTO,GAST   GDP/VB,ORL,,NEURO,VASC LOCAL,VASC,,
b21_03,CCARD,ORT INF,URO Func,ORL,URO Andro,,PLAST,ORT TRAUMA,GAST EED,,NEURO,GAST EED,,ORT Mão,
b22_04,CCARD,ORT INF,,GAST EED,ORL,GAST EED,,,,,NEURO,,,,
b31_05,CCARD,CAB PESC,,ORT JOELHO,ORL,C PED,,VASC LOCAL,PLAST,PLAST,NEURO,ORT TRAUMA,VASC,Oftalmo,Oftalmo
b32_06,CCARD,,PLAST,,ORT JOELHO,C PED,ORL,,ORL,,NEURO,GAST   GDP/VB,VASC,,
b41_07,CCARD,ORL,EDA Infantil,GAST   GDP/VB,VASC,TMO,URO litiase,GAST FIG,ORL,GAST  OBES,NEURO,NEURO COLU,EEF  Local,EDA ADULTO,Oftalmo
b42_08,CCARD,GAST  OBES,Oftalmo,MARCAP Local,ORL,GAST FIG,URO litiase,NEURO,ORL,NEURO COLU,,GAST   GDP/VB,VASC,,
b51_09,CCARD,NEURO,PLAST,ORT INF,,C PED,,C TORAX,,,,NEURO COLU,,ORT Mão,Oftalmo
b52_10,,,,CAB PESC,,,ORT TRAUMA,,,,,,,,
b11_11,CCARD,ORT COLUNA,,C PED,,,ORT JOELHO,C TRAUMA,ORL,ORT Tumor,NEURO,VASC LOCAL,VASC,,Oftalmo
b12_12,CCARD,ORT COLUNA,ORT OMBRO,GAST   GDP/VB,URO Onco,,PROCTO,MARCAP Local,ORL,VASC LOCAL,NEURO,,VASC,,
b21_13,CCARD,URO TX,URO TX,GAST EED,ORL,ORT TRAUMA,ORT TRAUMA,URO Andro,GAST EED,ORT Pé,NEURO,URO Func,,ORT Mão,
b22_14,,,PLAST,,,ORT TRAUMA,ORL,GAST EED,,ORT INF,NEURO,GAST EED,,,
b31_15,CCARD,VASC LOCAL,EDA Infantil,ORT JOELHO,EDA ADULTO,CAB PESC,,Oftalmo,ORL,C PED,NEURO,ORT TRAUMA,VASC,Oftalmo,
b32_16,CCARD,C TORAX,ORL,C PED,URO Infantil,,ORL,,,,NEURO,GAST   GDP/VB,VASC,,
b41_17,CCARD,GAST  OBES,EDA ADULTO,EEF  Local,,GAST   GDP/VB,ORL,URO litiase,ORL,GAST FIG,NEURO,EEF,VASC,EDA Infantil,Oftalmo
b42_18,CCARD,GAST  OBES,Oftalmo,GAST   GDP/VB,ORL,GAST FIG,URO litiase,VASC,ORL,MARCAP Local,NEURO,NEURO COLU,,,
b51_19,CCARD,NEURO,,C PED,PLAST,,PROCTO,,CAB PESC,,,NEURO COLU,,ORT Mão,Oftalmo
b52_20,,,PLAST,,,C PED,ORT TRAUMA,,CAB PESC,,NEURO,,,,
b11_21,CCARD,ORT COLUNA,,Anestesia Dor,URO Onco,C PED,ORT JOELHO,,ORL,C TRAUMA,,VASC LOCAL,VASC,,Oftalmo
b12_22,,ORT COLUNA,ORT OMBRO,GAST   GDP/VB,URO Onco,MARCAP Local,PROCTO,VASC LOCAL,ORL,,,GAST FIG,,,
b21_23,CCARD,URO TX,URO TX,ORT Pé,URO Func,ORT TRAUMA,ORL,URO Andro,GAST EED,ORT INF,NEURO,GAST EED,,ORT Mão,
b22_24,CCARD,,PLAST,,,GAST EED,ORL,,GAST EED,ORT Quadril,NEURO,,,,
b31_25,CCARD,C TORAX,,,,ORT JOELHO,ORL,C PED,CAB PESC,PLAST,NEURO,VASC LOCAL,VASC,Oftalmo,Oftalmo
b32_26,CCARD,C TORAX,ORL,GAST  OBES,,,ORL,C PED,PLAST,,NEURO,GAST   GDP/VB,VASC,,
b41_27,CCARD,TMO,URO litiase,GAST  OBES,,EEF  Local,ORL,GAST FIG,ORL,NEURO,NEURO COLU,EEF,VASC,EDA Infantil,Oftalmo
b42_28,CCARD,GAST  OBES,URO litiase,GAST   GDP/VB,ORL,Oftalmo,VASC,,ORL,MARCAP Local,NEURO,GAST FIG,MARCAP,,
b51_29,CCARD,,,C PED,,,PLAST,NEURO,CAB PESC,C TORAX,,NEURO COLU,,ORT Mão,Oftalmo
b52_30,CCARD,,,,,C TORAX,ORT TRAUMA,C PED,,CAB PESC,NEURO,,,,
b11_31,CCARD,ORT COLUNA,,C PED,,VASC LOCAL,ORT JOELHO,,,Anestesia Dor,NEURO,PROCTO,VASC,,Oftalmo
