,1,2,3,4,5,6,7,8,9,10,11,12,17,CCA_1,CCA_2
b11_01,CCARD,VASC,,ORT Tumor,ORT JOELHO,GAST FIG,URO Onco,Anestesia Dor,ORL,VASC LOCAL,,PROCTO,,,
b12_02,CCARD,ORT Tumor,ORT OMBRO,ORT COLUNA,,MARCAP Local,URO Onco,VASC LOCAL,ORL,NEURO,,GAST FIG,,,
b21_03,CCARD,GAST EED,URO Andro,ORT TRAUMA,URO Func,ORT Pé,,NEURO,PLAST,ORT TRAUMA,,GAST EED,,ORT Mão,
b22_04,CCARD,NEURO,,,,,,GAST EED,ORL,ORT TRAUMA,,GAST EED,,,
b31_05,CCARD,VASC LOCAL,ORT JOELHO,ORT TRAUMA,PLAST,CAB PESC,VASC,NEURO,PLAST,C PED,,ORL,,EDA ADULTO,Oftalmo
b32_06,CCARD,VASC,URO Infantil,C PED,,ORL,,C TORAX,PLAST,NEURO,,GAST  OBES,,,
b41_07,CCARD,GAST   GDP/VB,URO litiase,TMO,VASC,EEF  Local,ORL,GAST FIG,ORL,NEURO,NEURO COLU,GAST  OBES,EEF,EDA ADULTO,Oftalmo
b42_08,CCARD,GAST   GDP/VB,,MARCAP Local,ORL,VASC,,GAST  OBES,ORL,NEURO,NEURO COLU,GAST FIG,MARCAP,Oftalmo,
b51_09,,C TORAX,URO GINECO,CAB PESC,,CAB PESC,,PROCTO,PLAST,NEURO,,PROCTO,,,Oftalmo
b52_10,,CAB PESC,,,,,,,,,,PROCTO,,,
b11_11,CCARD,ORT Tumor,,C TRAUMA,ORT JOELHO,Anestesia Dor,VASC,NEURO,ORL,VASC LOCAL,,URO Onco,,EDA Infantil,Oftalmo
b12_12,CCARD,GAST   GDP/VB,,VASC LOCAL,URO Onco,ORT COLUNA,VASC,MARCAP Local,ORL,ORT Tumor,,GAST FIG,MARCAP,,
b21_13,CCARD,URO Andro,URO TX,ORT TRAUMA,PLAST,ORT INF,URO Func,ORT TRAUMA,GAST EED,NEURO,,GAST EED,,ORT Mão,
b22_14,CCARD,ORT TRAUMA,,ORT Quadril,,ORT TRAUMA,,PLAST,,NEURO,,GAST EED,,,
b31_15,CCARD,CAB PESC,ORL,VASC LOCAL,PLAST,C TORAX,VASC,NEURO,PLAST,C PED,,EDA ADULTO,,EDA Infantil,Oftalmo
b32_16,,VASC,PLAST,C PED,,C PED (*),URO Infantil,GAST  OBES,PLAST,NEURO,,GAST   GDP/VB,,,
b41_17,CCARD,URO litiase,EDA ADULTO,GAST   GDP/VB,ORL,EEF  Local,VASC,GAST  OBES,ORL,NEURO,NEURO COLU,EDA Infantil,EEF,,Oftalmo
b42_18,CCARD,URO litiase,,MARCAP Local,ORL,GAST  OBES,VASC,NEURO,ORL,,NEURO COLU,GAST FIG,MARCAP,Oftalmo,
b51_19,,CAB PESC,URO GINECO,C TORAX,,C PED,,PROCTO,PLAST,CAB PESC,,PROCTO,,ORT Mão,
b52_20,CCARD,PROCTO,,C TORAX,,,,C PED,,PROCTO,,,,,
b11_21,CCARD,ORT Tumor,URO Onco,C PED,VASC,VASC LOCAL,ORT JOELHO,NEURO,ORL,Anestesia Dor,,PROCTO,,,
b12_22,CCARD,VASC LOCAL,URO Onco,MARCAP Local,,PROCTO,,NEURO,ORL,ORT Tumor,,GAST FIG,,,
b21_23,CCARD,ORT Pé,URO Func,ORT TRAUMA,URO Andro,ORT TRAUMA,PLAST,NEURO,ORL,GAST EED,,GAST EED,,ORT Mão,
b22_24,,NEURO,ORL,,,ORT INF,PLAST,ORT TRAUMA,,ORT TRAUMA,,GAST EED,,,
b31_25,CCARD,VASC LOCAL,PLAST,ORT TRAUMA,ORT JOELHO,CAB PESC,VASC,C TORAX,PLAST,NEURO,,EDA ADULTO,,EDA Infantil,
b32_26,CCARD,NEURO,ORT JOELHO,GAST  OBES,VASC,C TORAX,,C PED,PLAST,ORL,,GAST   GDP/VB,,,
b41_27,CCARD,NEURO,EDA Infantil,EEF  Local,ORL,GAST FIG,VASC,GAST   GDP/VB,ORL,GAST  OBES,NEURO COLU,URO litiase,,EDA ADULTO,Oftalmo
b42_28,CCARD,GAST  OBES,ORL,VASC,,GAST   GDP/VB,URO litiase,NEURO,ORL,MARCAP Local,NEURO COLU,GAST FIG,,Oftalmo,
b51_29,CCARD,CAB PESC,,PROCTO,,CAB PESC,PLAST,NEURO,,C PED,NEURO COLU,PROCTO,,,
b52_30,,NEURO,,PROCTO,,C PED,,ORT TRAUMA,,C TORAX,,GAST EED,,,
b11_31,CCARD,NEURO,,Anestesia Dor,URO Onco,VASC LOCAL,ORT JOELHO,PROCTO,ORL,ORT Tumor,,,,,Oftalmo
b12_32,CCARD,MARCAP Local,,VASC LOCAL,,PROCTO,URO Onco,ORT Tumor,,NEURO,,GAST FIG,,,
b21_33,CCARD,ORT TRAUMA,PLAST,ORT TRAUMA,,ORT TRAUMA (*),URO Func,ORT INF,,GAST EED,,GAST EED,,ORT Mão,
