,Specialty,Number of Blocks
0,CCARD,37
1,VASC,22
2,ORT Tumor,10
3,GAST EED,17
4,NEURO,38
5,VASC LOCAL,14
6,GAST   GDP/VB,11
7,C TORAX,12
8,CAB PESC,14
9,URO Andro,4
10,ORT TRAUMA,20
11,URO litiase,6
12,PROCTO,17
13,ORT Pé,3
14,GAST  OBES,12
15,MARCAP Local,9
16,URO Func,5
17,ORT OMBRO,1
18,ORT JOELHO,8
19,URO Infantil,3
20,URO GINECO,3
21,URO TX,2
22,ORL,37
23,PLAST,24
24,EDA ADULTO,8
25,URO Onco,10
26,EDA Infantil,7
27,ORT COLUNA,2
28,C PED,13
29,TMO,2
30,C TRAUMA,2
31,ORT Quadril,2
32,EEF  Local,4
33,Anestesia Dor,5
34,GAST FIG,13
35,PLAST (*),1
36,ORT INF,3
37,C PED (*),1
38,ORT TRAUMA (*),1
39,NEURO COLU,10
40,EEF,2
41,MARCAP,4
42,ORT Mão,5
43,Oftalmo,14
44,Empty blocks,222
